#,Category,Brand Name,Program Name,Direct Sign-Up URL,Free to Join (Yes/No),Notes,Sign_Up_Type,Required_Fields,Auto_Signup_Feasible,Reward_on_Signup,Barriers  
1389,Fashion & Apparel,Burlington,Burlington Rewards,https://www.burlington.com/store/loyalty,Yes,Mainstream; Off-price loyalty,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
1390,Fashion & Apparel,TJ Maxx,TJX Rewards,https://m.tjmaxx.tjx.com/m/emailSignup.jsp,Yes,Mainstream; Treasure loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1391,Fashion & Apparel,Marshalls,TJX Rewards,https://www.marshalls.com/us/m/jump/topic/Find-Help/Digital-Rewards-Certificates-FAQs-/20500003p,Yes,Mainstream; Off-price loyalty,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
1392,Fashion & Apparel,Victoria's Secret,VS & PINK Collective,https://www.victoriassecret.com/us/rewards,Yes,Mainstream; Beauty + fashion loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1393,Beauty & Cosmetics,Bath & Body Works,BBW Rewards,https://www.bathandbodyworks.com/registration,Yes,Mainstream; Free candle loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1394,Footwear,Foot Locker,FLX Rewards,https://www.footlocker.com/flx.html,Yes,Mainstream; Sneaker loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1395,Footwear,DSW,DSW VIP,https://www.dsw.com/customer-service/vip-rewards,Yes,Mainstream; Free shoe loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1396,Footwear,Finish Line,Finish Line STATUS,https://account.finishline.com/register,Yes,Mainstream; Athletic footwear loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1397,Footwear,Famous Footwear,FFREW,https://www.famousfootwear.com/rewards,Yes,Mainstream; Family shoe loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1398,Footwear,Journeys,J-Card Rewards,https://www.journeys.com/rewards,Yes,Mainstream; Teen footwear loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1399,Dept Store,Nordstrom,Nordy Club,https://www.nordstrom.com/c/nordy-club,Yes,Mainstream; Top dept store loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1400,Dept Store,Macy's,Star Rewards,https://www.macys.com/star-rewards,Yes,Mainstream; Multi-tier loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1401,Dept Store,JCPenney,JCP Rewards,https://www.jcpenney.com/m/jcprewards,Yes,Mainstream; Classic dept loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1402,Dept Store,Belk,Belk Rewards+,https://www.belk.com/customer-service/rewards,Yes,Mainstream; Southeast dept store,Full Registration,"email, name, phone",Yes,None noted,None noted  
1403,Dept Store,Boscov's,Boscov's Rewards,https://www.boscovs.com/rewards,Yes,Mainstream; PA-region loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1404,Dept Store,Dillard's,Dillard's Rewards,https://www.dillards.com/category/rewards,Yes,Mainstream; Southern US loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1405,Dept Store,Stage Stores,Rewards Program,https://www.bealls.com/t/rewards,Yes,Mainstream; Bealls loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1406,Dept Store,Sam's Club,Sam's Plus,https://www.samsclub.com/membership,Yes,Mainstream; Plus cash rewards,Full Registration,"email, name, phone",Yes,None noted,None noted  
1407,Dept Store,BJ's Wholesale,BJ's Club+,https://www.bjs.com/membership,Yes,Mainstream; Cash-back membership,Full Registration,"email, name, phone",Yes,None noted,None noted  
1408,Sports & Outdoors,DICK'S Sporting,ScoreCard Rewards,https://www.dickssportinggoods.com/s/scorecard-benefits,Yes,Mainstream; 1pt per dollar,Full Registration,"email, name, phone",Yes,None noted,None noted  
1409,Sports & Outdoors,Academy Sports,Academy Wallet,https://www.academy.com/loyalty,Yes,Mainstream; TX-based loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1410,Sports & Outdoors,Bass Pro,Outdoor Rewards,https://help.basspro.com/club-mastercard-outdoor-rewards-loyalty-programs-5a99132c/what-is-outdoor-rewards-311a4168,Yes,Mainstream; Outdoor rewards,Full Registration,"email, name, phone",Yes,None noted,None noted  
1411,Sports & Outdoors,Cabela's,Club Program,https://www.cabelas.com/shop/OutdoorRewardsApplication,Yes,Mainstream; Cabela's Club,Full Registration,"email, name, phone",Yes,None noted,None noted  
1412,Sports & Outdoors,Scheels,Scheels VISA Program,https://www.facebook.com/scheels/videos/scheels-visa/1949843109274966,Yes,Mainstream; Midwest sports loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1413,Sports & Outdoors,Big 5 Sporting Goods,Big 5 Rewards,https://www.big5sportinggoods.com/rewards,Yes,Mainstream; West coast loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1414,Auto,AutoZone,AutoZone Rewards,https://www.autozone.com/rewards,Yes,Mainstream; Auto DIY loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1415,Auto,O'Reilly Auto,O'Rewards,https://www.oreillyauto.com/orewards-loyalty-program,Yes,Mainstream; Auto care loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1416,Auto,NAPA Auto,NAPA Rewards,https://www.napaonline.com/en/rewards,Yes,Mainstream; National auto loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1417,Auto,Advance Auto Parts,Speed Perks,https://shop.advanceautoparts.com/o/SpeedRewards,Yes,Mainstream; Speed rewards loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1418,Auto,Pep Boys,Pep Boys Rewards,https://www.pepboys.com/rewards,Yes,Mainstream; Auto service loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1419,Auto,Jiffy Lube,Jiffy Lube Service Network,https://www.jiffylube.com/rewards,Yes,Mainstream; Quick lube loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1420,Catalog,Staples,Staples Easy Rewards,https://www.staples.com/lp/easyrewardsoverview,Yes,Mainstream; Free office loyalty,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
1421,Catalog,Office Depot,OD/OM Rewards,https://www.officedepot.com/l/rewards,Yes,Mainstream; 2% back free,Full Registration,"email, name, phone",Yes,None noted,None noted  
1422,Catalog,FedEx,FedEx Rewards,https://www.fedex.com/en-us/rewards.html,Yes,Mainstream; Shipping loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1423,Catalog,UPS,UPS Rewards,https://www.theupsstore.com/tools/rewards,Yes,Mainstream; Pack+ship loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1424,Health & Wellness,GNC,myGNC Rewards,https://www.gnc.com/gnc-loyalty-faqs.html,Yes,Mainstream; Pro Access loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1425,Health & Wellness,Vitamin Shoppe,Healthy Awards,https://www.vitaminshoppe.com/lp/Newhealthyawards,Yes,Mainstream; Supplement loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1426,Health & Wellness,iHerb,iHerb Rewards,https://www.iherb.com/pressreleases/iherb-rewards-program-release-2022/1583,Yes,Mainstream; Natural supplement loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1427,Catalog,Carter's,Carter's Rewards,https://www.carters.com/rewards,Yes,Mainstream; Baby & kids loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1428,Catalog,OshKosh B'Gosh,OKB Rewards,https://www.oshkosh.com/rewards,Yes,Mainstream; Kids apparel loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1429,Catalog,Gymboree,Gymboree Rewards,https://www.gymboree.com/us/rewards,Yes,Mainstream; Kids fashion loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1430,Catalog,The Children's Place,My Place Rewards,https://www.childrensplace.com/us/c/my-place-rewards,Yes,Mainstream; Children loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1431,Catalog,Pottery Barn Kids,The Key,https://www.potterybarnkids.com/pages/the-key,Yes,Mainstream; Kids home loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1432,Catalog,Disney Store,Disney Insider,https://insiders.disney.com,Yes,Mainstream; Mouse loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1433,Beauty & Cosmetics,Sephora,Beauty Insider,https://www.sephora.com/beauty/loyalty,Yes,Mainstream; Tiered beauty loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1434,Beauty & Cosmetics,Sally Beauty,Sally Beauty Rewards,https://www.sallybeauty.com/beautyclub,Yes,Mainstream; Pro beauty loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1435,Beauty & Cosmetics,Regis Salons,Regis Rewards,https://www.regissalons.com/rewards,Yes,Mainstream; Salon loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1436,Beauty & Cosmetics,Great Clips,Great Clips Rewards,https://www.greatclips.com/promotions,Yes,Mainstream; Free haircut loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1437,Beauty & Cosmetics,Supercuts,Supercuts Rewards,https://www.supercuts.com/rewards,Yes,Mainstream; Salon loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1438,Beauty & Cosmetics,Sport Clips,MVP Haircare,https://www.sportclips.com/mvp-haircare,Yes,Mainstream; Men's salon loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1439,Beauty & Cosmetics,Fantastic Sams,FS Rewards,https://www.fantasticsams.com/rewards,Yes,Mainstream; Family salon loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1440,Dept Store,Dollar Tree,Dollar Tree Account,https://www.dollartree.com/create-account,Yes,Mainstream; Value loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1441,Dept Store,Family Dollar,Smart Coupons,https://www.familydollar.com,Yes,Mainstream; Smart savings loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1442,Dept Store,Ollie's Bargain,Ollie's Army,https://www.ollies.us/ollie-army,Yes,Mainstream; Bargain hunter loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1443,Auto,Toyota,Toyota Owners,https://www.toyota.com/owners,Yes,Mainstream; Owner portal + loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1444,Dining,McDonald's,MyMcDonald's Rewards,https://www.mcdonalds.com/us/en-us/mymcdonalds.html,Yes,Entry/Everyday; Free fries loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1445,Dining,Burger King,Royal Perks,https://www.bk.com/royal-perks,Yes,Entry/Everyday; BK loyalty app,Full Registration,"email, name, phone",Yes,None noted,None noted  
1446,Dining,Wendy's,Wendy's Rewards,https://www.wendys.com/dave-thomas-foundation,Yes,Entry/Everyday; App-based loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1447,Dining,Subway,Subway MVP Rewards,https://www.subway.com/en-US/rewards,Yes,Entry/Everyday; Footlong loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1448,Dining,Sonic,Sonic Rewards,https://www.sonicdrivein.com/app,Yes,Entry/Everyday; Drive-in loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1449,Dining,Hardee's,Hardee's Rewards,https://www.hardees.com/rewards,Yes,Entry/Everyday; Southern fast food,Full Registration,"email, name, phone",Yes,None noted,None noted  
1450,Dining,Carl's Jr.,CJ Rewards,https://www.carlsjr.com/rewards,Yes,Entry/Everyday; Western fast food,Full Registration,"email, name, phone",Yes,None noted,None noted  
1451,Dining,White Castle,Craver Nation,https://www.whitecastle.com/rewards,Yes,Entry/Everyday; Slider loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1452,Dining,Arby's,Arby's Rewards,https://www.arbys.com/loyalty,Yes,Entry/Everyday; Meat loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1453,Dining,Culver's,Culver's Delights,https://www.culvers.com/family,Yes,Entry/Everyday; Midwest burger loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1454,Dining,In-N-Out,No formal program,https://www.in-n-out.com,Yes,Entry/Everyday; Animal-style culture only,Full Registration,"email, name, phone",Yes,None noted,None noted  
1455,Dining,Five Guys,No formal program,https://www.fiveguys.com,Yes,Entry/Everyday; Community focus only,Full Registration,"email, name, phone",Yes,None noted,None noted  
1456,Dining,Shake Shack,Shack Track App,https://www.shakeshack.com/shack-app,Yes,Entry/Everyday; Premium QSR loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1457,Dining,Raising Cane's,No formal program,https://www.raisingcanes.com,Yes,Entry/Everyday; Chicken fingers loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1458,Dining,Wingstop,Wingstop Rewards,https://www.wingstop.com/rewards,Yes,Entry/Everyday; Wing loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1459,Dining,Papa John's,Papa Rewards,https://www.papajohns.com/order/papa-rewards,Yes,Entry/Everyday; Free pizza loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1460,Dining,Domino's,Piece of the Pie,https://www.dominos.com/en/pages/customer,Yes,Entry/Everyday; 10pt = free pizza,Full Registration,"email, name, phone",Yes,None noted,None noted  
1461,Dining,Pizza Hut,Hut Rewards,https://www.pizzahut.com/account/create-account,Yes,Entry/Everyday; Hut loyalty points,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
1462,Dining,Little Caesars,Hot-N-Ready Perks,https://littlecaesars.com/en-us/create-account,Yes,Entry/Everyday; App-based loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1463,Dining,Hungry Howie's,Howie Rewards,https://www.hungryhowies.com/rewards,Yes,Entry/Everyday; Flavored crust loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1464,Dining,Dunkin',Dunkin' Rewards,https://www.dunkindonuts.com/en/dunkinrewards,Yes,Entry/Everyday; DD Rewards loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1465,Dining,Tim Hortons,Tims Rewards,https://www.timhortons.com/rewards,Yes,Entry/Everyday; Canadian coffee loyalty,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
1466,Dining,Panera Bread,MyPanera+,https://www.panerabread.com/en-us/mypanera/join.html,Yes,Entry/Everyday; Unlimited coffee sub,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
1467,Dining,Biggby Coffee,Biggby Rewards,https://www.biggby.com/rewards,Yes,Entry/Everyday; Midwest loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1468,Dining,Scooter's Coffee,Scooter's Rewards,https://www.scooterscoffee.com/rewards,Yes,Entry/Everyday; Drive-thru loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1469,Dining,7 Brew,7 Brew Rewards,https://7brewcoffee.com/rewards,Yes,Entry/Everyday; Energy drink loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1470,Dining,Noodles & Company,Rewards Club,https://www.noodles.com/loyalty,Yes,Entry/Everyday; Noodle loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1471,Dining,Potbelly,Perks Program,https://www.potbelly.com/rewards,Yes,Entry/Everyday; Sandwich loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1472,Dining,Jersey Mike's,My Mike's Way,https://www.jerseymikes.com/mymikesway,Yes,Entry/Everyday; Sub loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1473,Dining,Firehouse Subs,Rewards Program,https://www.firehousesubs.com/rewards,Yes,Entry/Everyday; Sandwich loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1474,Dining,Which Wich,Wich Rewards,https://www.whichwich.com/rewards,Yes,Entry/Everyday; Custom sandwich loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1475,Dining,Cosi,Cosi Rewards,https://www.getcosi.com/rewards,Yes,Entry/Everyday; Sandwich café loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1476,Dining,Jason's Deli,Deli Dollars,https://www.jasonsdeli.com/rewards,Yes,Entry/Everyday; Deli loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1477,Dining,Bob Evans,Bob Evans Rewards,https://www.bobevans.com/rewards,Yes,Entry/Everyday; Farm-fresh loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1478,Dining,Cracker Barrel,CB Rewards,https://crackerbarrel.com/rewards,Yes,Entry/Everyday; Country store loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1479,Dining,Golden Corral,Good as Gold,https://www.goldencorral.com/rewards,Yes,Entry/Everyday; Buffet loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1480,Dining,Waffle House,No Program,https://www.wafflehouse.com,Yes,Entry/Everyday; Community culture only,Full Registration,"email, name, phone",Yes,None noted,None noted  
1481,Gas,7-Eleven,7Rewards,https://www.7-eleven.com/7rewards,Yes,Entry/Everyday; Free drink loyalty,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
1482,Gas,Wawa,Wawa Rewards,https://www.wawa.com/get-the-app,Yes,Entry/Everyday; PA/NJ cult loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1483,Gas,Sheetz,MySheetz Card,https://www.sheetz.com/mysheeztx,Yes,Entry/Everyday; Fuel + food loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1484,Gas,Pilot Flying J,myRewards Plus,https://pilotflyingj.com/rewards,Yes,Entry/Everyday; Trucker loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1485,Gas,Speedway,Speedy Rewards,https://www.speedway.com/speedyrewards,Yes,Entry/Everyday; Fuel station loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1486,Gas,Circle K,Inner Circle,https://www.circlek.com/inner-circle,Yes,Entry/Everyday; Global convenience loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1487,Gas,ampm,ampm Rewards,https://www.ampm.com/rewards,Yes,Entry/Everyday; West coast C-store loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1488,Gas,QuikTrip,QT Rewards,https://www.quiktrip.com/QTGO,Yes,Entry/Everyday; Midwestern C-store,Full Registration,"email, name, phone",Yes,None noted,None noted  
1489,Gas,RaceTrac,RaceTrac Rewards,https://www.racetrac.com/racetrac-rewards,Yes,Entry/Everyday; Southeast C-store loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1490,Gas,Maverik,Adventure Club,https://maverik.com/adventure-club,Yes,Entry/Everyday; Western adventure loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1491,Gas,Murphy USA,Murphy Drive Rewards,https://www.murphyusa.com/murphydriveapp,Yes,Entry/Everyday; Walmart-adjacent gas loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1492,Gas,Exxon Mobil,Exxon Mobil Rewards+,https://www.exxon.com/en/find-station/rewards,Yes,Entry/Everyday; Fuel rewards,Full Registration,"email, name, phone",Yes,None noted,None noted  
1493,Gas,Shell,Shell Fuel Rewards,https://www.fuelrewards.com/fuelrewards,Yes,Entry/Everyday; Gold & Platinum tiers,Full Registration,"email, name, phone",Yes,None noted,None noted  
1494,Gas,BP,BPme Rewards,https://www.bp.com/en_us/united-states/home/products-and-services/bpme-app.html,Yes,Entry/Everyday; Fuel savings loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1495,Gas,Chevron,Techron Advantage,https://www.chevronwithtechron.com/en_us/home/advantage-card.html,Yes,Entry/Everyday; West coast fuel loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1496,Entertainment & Streaming,AMC Theatres,AMC Stubs,https://www.amctheatres.com/amcstubs,Yes,Entry/Everyday; Free A-List tier,Full Registration,"email, name, phone",Yes,None noted,None noted  
1497,Entertainment & Streaming,Cinemark,Movie Rewards,https://www.cinemark.com/movie-rewards-info,Yes,Entry/Everyday; Popcorn loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1498,Entertainment & Streaming,Fandango,FanRewards,https://www.fandango.com/VIPplus,Yes,Entry/Everyday; Movie ticket loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1499,Entertainment & Streaming,Dave & Buster's,Rewards Card,https://www.daveandbusters.com/rewards,Yes,Entry/Everyday; Arcade loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1500,Grocery,Instacart,Instacart+,https://www.instacart.com/memberships/instacart_plus,Yes,Entry/Everyday; Delivery loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1501,Grocery,DoorDash,DashPass,https://www.doordash.com/dashpass,No,Entry/Everyday; $0 delivery loyalty,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
1502,Grocery,Uber Eats,Uber One,https://www.ubereats.com/membership,Yes,Entry/Everyday; Rides + food loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1503,Grocery,Grubhub,Grubhub+,https://www.grubhub.com/plus,Yes,Entry/Everyday; Amazon-linked loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1504,Gas,Gopuff,fam Membership,https://www.gopuff.com/fam,Yes,Entry/Everyday; Instant delivery loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1505,Grocery,HelloFresh,HelloFresh Rewards,https://www.hellofresh.com/rewards,Yes,Entry/Everyday; Meal kit loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1506,Grocery,Blue Apron,Refer & Earn,https://www.blueapron.com/referral,Yes,Entry/Everyday; Chef meal loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1507,Grocery,Sun Basket,SB Rewards,https://sunbasket.com/rewards,Yes,Entry/Everyday; Organic meal loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1508,Entertainment & Streaming,Netflix,No loyalty program,https://www.netflix.com/signup,No,Entry/Everyday; Subscription service,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
1509,Entertainment & Streaming,Hulu,Hulu Hub,https://www.hulu.com/welcome,Yes,Entry/Everyday; Disney bundle loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1510,Entertainment & Streaming,Disney+,Disney+,https://www.disneyplus.com/welcome,Yes,Entry/Everyday; Disney ecosystem loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1511,Entertainment & Streaming,Spotify,Spotify Premium,https://www.spotify.com/us/premium,No,Entry/Everyday; Music subscription,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
1512,Entertainment & Streaming,Amazon Prime,Prime Benefits,https://www.amazon.com/prime,Yes,Entry/Everyday; Ecosystem loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1513,Entertainment & Streaming,Paramount+,P+ Rewards,https://www.paramountplus.com,Yes,Entry/Everyday; CBS streaming loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1514,Health & Wellness,Planet Fitness,PF Black Card,https://www.planetfitness.com/gym-memberships,No,Entry/Everyday; $10/mo mass fitness,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
1515,Health & Wellness,LA Fitness,LA Fitness Membership,https://www.lafitness.com/PAGES/default.aspx,Yes,Entry/Everyday; Multi-club loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1516,Health & Wellness,Anytime Fitness,AF Rewards,https://www.anytimefitness.com/membership,Yes,Entry/Everyday; 24/7 fitness loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1517,Health & Wellness,24 Hour Fitness,24GO Rewards,https://www.24hourfitness.com/membership,Yes,Entry/Everyday; West coast fitness loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1518,Health & Wellness,Gold's Gym,Gold's Rewards,https://www.goldsgym.com/rewards,Yes,Entry/Everyday; Classic gym loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1519,Health & Wellness,Crunch Fitness,Crunch Rewards,https://www.crunch.com/membership,Yes,Entry/Everyday; No-judgment loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1520,Health & Wellness,YMCA,YMCA Membership,https://www.ymca.org,Yes,Entry/Everyday; Community membership,Full Registration,"email, name, phone",Yes,None noted,None noted  
1521,Health & Wellness,Equinox,Equinox Memberships,https://www.equinox.com/membership,Yes,Entry/Everyday; Premium fitness tier,Full Registration,"email, name, phone",Yes,None noted,None noted  
1522,Health & Wellness,SoulCycle,SC Membership,https://www.soul-cycle.com/memberships,Yes,Entry/Everyday; Indoor cycling loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1523,Health & Wellness,Orange Theory,OTF Rewards,https://www.orangetheory.com/en-us/membership,Yes,Entry/Everyday; Heart-rate loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1524,Health & Wellness,F45 Training,F45 Membership,https://f45training.com/us/en/membership,Yes,Entry/Everyday; Team functional fitness,Full Registration,"email, name, phone",Yes,None noted,None noted  
1525,Health & Wellness,Barry's,Barry's Membership,https://www.barrys.com/membership,Yes,Entry/Everyday; Red room loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1526,Dept Store,Target,Target Circle,https://www.target.com/c/target-circle/-/N-4snlq,Yes,Entry/Everyday; 1% cashback loyalty,Full Registration,"email, name, phone",Yes,Cash back on first purchase,None noted  
1527,Fashion & Apparel,Nike,Nike Membership,https://www.nike.com/membership,Yes,Entry/Everyday; Free NRC + access,Full Registration,"email, name, phone",Yes,None noted,None noted  
1528,Fashion & Apparel,Adidas,adiClub,https://www.adidas.com/us/adiclub,Yes,Entry/Everyday; 4-tier loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1529,Fashion & Apparel,Puma,PUMA APP,https://us.puma.com/en/puma-app,Yes,Entry/Everyday; Sport loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1530,Sports & Outdoors,Patagonia,Worn Wear,https://www.patagonia.com/worn-wear,Yes,Entry/Everyday; Sustainability loyalty,Full Registration,"email, name, phone",Yes,None noted,None noted  
1531,Fintech,Target,Target RedCard,https://www.target.com/redcard/about,Yes,Store Soft-Pull; 5% off every purchase,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1532,Fintech,Amazon,Amazon Store Card,https://www.amazon.com/gp/cobrandcard/marketing.html,Yes,Store Soft-Pull; 5% back for Prime,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1533,Fintech,Walmart,Walmart Store Card,https://www.walmart.com/cp/walmart-credit-card/632402,Yes,Store Soft-Pull; Walmart only rewards,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1534,Fintech,Kohl's,Kohl's Card,https://www.kohls.com/feature/credit-card.jsp,Yes,Store Soft-Pull; Kohl's Cash card,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1535,Fintech,Macy's,Macy's Card,https://www.macys.com/credit-cards,Yes,Store Soft-Pull; Macy's rewards card,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1536,Fintech,JCPenney,JCPenney Card,https://www.jcpenney.com/m/jcpcard,Yes,Store Soft-Pull; JCP rewards,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1537,Fintech,Nordstrom,Nordstrom Card,https://www.nordstrom.com/c/nordstrom-card,Yes,Store Soft-Pull; Nordy Club card,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
1538,Fintech,Gap,Gap Good Rewards,https://www.gap.com/customer-service/good-rewards-card,Yes,Store Soft-Pull; Gap Inc card,Credit Pre-Qual,"email, name, address, SSN-last-4",Partial,None noted,SSN required; soft pull only  
